Parameter,Statistic,Area,Validity Datetime,Value
All parameters,RMSE components of Global NWP Index,All Areas,200808010000,89.57775
All parameters,RMSE components of Global NWP Index,All Areas,200809010000,93.9435
All parameters,RMSE components of Global NWP Index,All Areas,200810010000,99.8665
All parameters,RMSE components of Global NWP Index,All Areas,200811010000,98.533
All parameters,RMSE components of Global NWP Index,All Areas,200812010000,104.48125
All parameters,RMSE components of Global NWP Index,All Areas,200901010000,101.4315
All parameters,RMSE components of Global NWP Index,All Areas,200902010000,99.65025
All parameters,RMSE components of Global NWP Index,All Areas,200903010000,105.4425
All parameters,RMSE components of Global NWP Index,All Areas,200904010000,98.95275
All parameters,RMSE components of Global NWP Index,All Areas,200905010000,99.25925
All parameters,RMSE components of Global NWP Index,All Areas,200906010000,92.63875
All parameters,RMSE components of Global NWP Index,All Areas,200907010000,91.80975
All parameters,RMSE components of Global NWP Index,All Areas,200908010000,90.98175
All parameters,RMSE components of Global NWP Index,All Areas,200909010000,96.5525
All parameters,RMSE components of Global NWP Index,All Areas,200910010000,98.0205
All parameters,RMSE components of Global NWP Index,All Areas,200911010000,100.938
All parameters,RMSE components of Global NWP Index,All Areas,200912010000,104.63
All parameters,RMSE components of Global NWP Index,All Areas,201001010000,100.212
All parameters,RMSE components of Global NWP Index,All Areas,201002010000,97.22225
All parameters,RMSE components of Global NWP Index,All Areas,201003010000,102.64975
All parameters,RMSE components of Global NWP Index,All Areas,201004010000,97.60325
All parameters,RMSE components of Global NWP Index,All Areas,201005010000,93.9165
All parameters,RMSE components of Global NWP Index,All Areas,201006010000,91.426
All parameters,RMSE components of Global NWP Index,All Areas,201007010000,93.9485
All parameters,RMSE components of Global NWP Index,All Areas,201008010000,90.7995
All parameters,RMSE components of Global NWP Index,All Areas,201009010000,92.710275
All parameters,RMSE components of Global NWP Index,All Areas,201010010000,93.025125
All parameters,RMSE components of Global NWP Index,All Areas,201011010000,95.146525
All parameters,RMSE components of Global NWP Index,All Areas,201012010000,101.17745
All parameters,RMSE components of Global NWP Index,All Areas,201101010000,100.973625
All parameters,RMSE components of Global NWP Index,All Areas,201102010000,106.590425
All parameters,RMSE components of Global NWP Index,All Areas,201103010000,99.373575
All parameters,RMSE components of Global NWP Index,All Areas,201104010000,96.769775
All parameters,RMSE components of Global NWP Index,All Areas,201105010000,92.030525
All parameters,RMSE components of Global NWP Index,All Areas,201106010000,85.4243
All parameters,RMSE components of Global NWP Index,All Areas,201107010000,87.35145
All parameters,RMSE components of Global NWP Index,All Areas,201108010000,85.53
All parameters,RMSE components of Global NWP Index,All Areas,201109010000,88.9659
All parameters,RMSE components of Global NWP Index,All Areas,201110010000,88.49985
All parameters,RMSE components of Global NWP Index,All Areas,201111010000,93.53985
All parameters,RMSE components of Global NWP Index,All Areas,201112010000,97.60615
All parameters,RMSE components of Global NWP Index,All Areas,201201010000,100.569075
All parameters,RMSE components of Global NWP Index,All Areas,201202010000,100.7774
All parameters,RMSE components of Global NWP Index,All Areas,201203010000,99.3082
All parameters,RMSE components of Global NWP Index,All Areas,201204010000,90.757125
All parameters,RMSE components of Global NWP Index,All Areas,201205010000,88.0123
All parameters,RMSE components of Global NWP Index,All Areas,201206010000,89.414875
All parameters,RMSE components of Global NWP Index,All Areas,201207010000,83.42775
All parameters,RMSE components of Global NWP Index,All Areas,201208010000,87.097375
All parameters,RMSE components of Global NWP Index,All Areas,201209010000,88.28755
All parameters,RMSE components of Global NWP Index,All Areas,201210010000,86.06135
All parameters,RMSE components of Global NWP Index,All Areas,201211010000,89.50615
All parameters,RMSE components of Global NWP Index,All Areas,201212010000,94.402825
All parameters,RMSE components of Global NWP Index,All Areas,201301010000,95.632225
All parameters,RMSE components of Global NWP Index,All Areas,201302010000,88.529975
All parameters,RMSE components of Global NWP Index,All Areas,201303010000,91.3636
All parameters,RMSE components of Global NWP Index,All Areas,201304010000,89.14705
All parameters,RMSE components of Global NWP Index,All Areas,201305010000,85.256575
All parameters,RMSE components of Global NWP Index,All Areas,201306010000,86.09415
All parameters,RMSE components of Global NWP Index,All Areas,201307010000,82.8641
All parameters,RMSE components of Global NWP Index,All Areas,201308010000,82.736225
All parameters,RMSE components of Global NWP Index,All Areas,201309010000,87.2219
All parameters,RMSE components of Global NWP Index,All Areas,201310010000,86.44125
All parameters,RMSE components of Global NWP Index,All Areas,201311010000,94.66505
All parameters,RMSE components of Global NWP Index,All Areas,201312010000,87.859975
All parameters,RMSE components of Global NWP Index,All Areas,201401010000,95.319001625
All parameters,RMSE components of Global NWP Index,All Areas,201402010000,91.838630075
All parameters,RMSE components of Global NWP Index,All Areas,201403010000,92.043284975
All parameters,RMSE components of Global NWP Index,All Areas,201404010000,84.7916317
All parameters,RMSE components of Global NWP Index,All Areas,201405010000,86.1546614
All parameters,RMSE components of Global NWP Index,All Areas,201406010000,83.0092818
All parameters,RMSE components of Global NWP Index,All Areas,201407010000,84.054217925
All parameters,RMSE components of Global NWP Index,All Areas,201408010000,84.41853885
All parameters,RMSE components of Global NWP Index,All Areas,201409010000,88.53676725
All parameters,RMSE components of Global NWP Index,All Areas,201410010000,87.0541085
All parameters,RMSE components of Global NWP Index,All Areas,201411010000,87.007306325
All parameters,RMSE components of Global NWP Index,All Areas,201412010000,89.991860125
All parameters,RMSE components of Global NWP Index,All Areas,201501010000,93.49714675
All parameters,RMSE components of Global NWP Index,All Areas,201502010000,93.8432742
All parameters,RMSE components of Global NWP Index,All Areas,201503010000,88.8265113
All parameters,RMSE components of Global NWP Index,All Areas,201504010000,90.221427875
All parameters,RMSE components of Global NWP Index,All Areas,201505010000,84.3955441
All parameters,RMSE components of Global NWP Index,All Areas,201506010000,84.8299114
