Datetime,Value
200808010000,94.855839
200809010000,95.639125
200810010000,101.169226
200811010000,96.926126
200812010000,99.901001
200901010000,95.781956
200902010000,95.312473
200903010000,101.025406
200904010000,98.930572
200905010000,101.982451
200906010000,97.674535
200907010000,97.151088
200908010000,96.259839
200909010000,98.248125
200910010000,99.323226
200911010000,99.331126
200912010000,100.049751
201001010000,94.562456
201002010000,92.884473
201003010000,98.232656
201004010000,97.581072
201005010000,96.639701
201006010000,96.461785
201007010000,99.289838
201008010000,96.077589
201009010000,94.405900
201010010000,94.327851
201011010000,93.539651
201012010000,96.597201
201101010000,95.324081
201102010000,102.252648
201103010000,94.956481
201104010000,96.747597
201105010000,94.753726
201106010000,90.460085
201107010000,92.692788
201108010000,90.808089
201109010000,90.661525
201110010000,89.802576
201111010000,91.932976
201112010000,93.025901
201201010000,94.919531
201202010000,96.439623
201203010000,94.891106
201204010000,90.734947
201205010000,90.735501
201206010000,94.450660
201207010000,88.769088
201208010000,92.375464
201209010000,89.983175
201210010000,87.364076
201211010000,87.899276
201212010000,89.822576
201301010000,89.982681
201302010000,84.192198
201303010000,86.946506
201304010000,89.124872
201305010000,87.979776
201306010000,91.129935
201307010000,88.205438
201308010000,88.014314
201309010000,88.917525
201310010000,87.743976
201311010000,93.058176
201312010000,83.279726
201401010000,89.669457
201402010000,87.500853
201403010000,87.626191
201404010000,84.769454
201405010000,88.877863
201406010000,88.045067
201407010000,89.395556
201408010000,89.696628
201409010000,90.232392
201410010000,88.356834
201411010000,85.400432
201412010000,85.411611
201501010000,87.847603
201502010000,89.505497
201503010000,84.409417
201504010000,90.199250
201505010000,87.118745
201506010000,89.865697
