Parameter,Statistic,Area,Validity Datetime,Value
All parameters,RMSE components of Global NWP Index,All Areas,200808010000,117.251325
All parameters,RMSE components of Global NWP Index,All Areas,200809010000,119.445725
All parameters,RMSE components of Global NWP Index,All Areas,200810010000,123.06445
All parameters,RMSE components of Global NWP Index,All Areas,200811010000,116.178725
All parameters,RMSE components of Global NWP Index,All Areas,200812010000,128.428325
All parameters,RMSE components of Global NWP Index,All Areas,200901010000,120.097
All parameters,RMSE components of Global NWP Index,All Areas,200902010000,119.143225
All parameters,RMSE components of Global NWP Index,All Areas,200903010000,126.175275
All parameters,RMSE components of Global NWP Index,All Areas,200904010000,118.302125
All parameters,RMSE components of Global NWP Index,All Areas,200905010000,117.092575
All parameters,RMSE components of Global NWP Index,All Areas,200906010000,112.01385
All parameters,RMSE components of Global NWP Index,All Areas,200907010000,111.284475
All parameters,RMSE components of Global NWP Index,All Areas,200908010000,112.354425
All parameters,RMSE components of Global NWP Index,All Areas,200909010000,118.2564
All parameters,RMSE components of Global NWP Index,All Areas,200910010000,120.836225
All parameters,RMSE components of Global NWP Index,All Areas,200911010000,120.7139
All parameters,RMSE components of Global NWP Index,All Areas,200912010000,120.02525
All parameters,RMSE components of Global NWP Index,All Areas,201001010000,122.9548
All parameters,RMSE components of Global NWP Index,All Areas,201002010000,120.81125
All parameters,RMSE components of Global NWP Index,All Areas,201003010000,123.091275
All parameters,RMSE components of Global NWP Index,All Areas,201004010000,116.554125
All parameters,RMSE components of Global NWP Index,All Areas,201005010000,116.8507
All parameters,RMSE components of Global NWP Index,All Areas,201006010000,112.053975
All parameters,RMSE components of Global NWP Index,All Areas,201007010000,114.18455
All parameters,RMSE components of Global NWP Index,All Areas,201008010000,112.04835
All parameters,RMSE components of Global NWP Index,All Areas,201009010000,114.89195
All parameters,RMSE components of Global NWP Index,All Areas,201010010000,114.64745
All parameters,RMSE components of Global NWP Index,All Areas,201011010000,116.960025
All parameters,RMSE components of Global NWP Index,All Areas,201012010000,123.063975
All parameters,RMSE components of Global NWP Index,All Areas,201101010000,122.621675
All parameters,RMSE components of Global NWP Index,All Areas,201102010000,125.37695
All parameters,RMSE components of Global NWP Index,All Areas,201103010000,121.097575
All parameters,RMSE components of Global NWP Index,All Areas,201104010000,117.231425
All parameters,RMSE components of Global NWP Index,All Areas,201105010000,112.6781
All parameters,RMSE components of Global NWP Index,All Areas,201106010000,108.8457
All parameters,RMSE components of Global NWP Index,All Areas,201107010000,111.40065
All parameters,RMSE components of Global NWP Index,All Areas,201108010000,105.40155
All parameters,RMSE components of Global NWP Index,All Areas,201109010000,117.92
All parameters,RMSE components of Global NWP Index,All Areas,201110010000,109.304575
All parameters,RMSE components of Global NWP Index,All Areas,201111010000,114.956925
All parameters,RMSE components of Global NWP Index,All Areas,201112010000,116.48425
All parameters,RMSE components of Global NWP Index,All Areas,201201010000,119.83425
All parameters,RMSE components of Global NWP Index,All Areas,201202010000,122.887725
All parameters,RMSE components of Global NWP Index,All Areas,201203010000,122.08765
All parameters,RMSE components of Global NWP Index,All Areas,201204010000,110.369875
All parameters,RMSE components of Global NWP Index,All Areas,201205010000,110.212275
All parameters,RMSE components of Global NWP Index,All Areas,201206010000,116.618325
All parameters,RMSE components of Global NWP Index,All Areas,201207010000,103.8444
All parameters,RMSE components of Global NWP Index,All Areas,201208010000,109.29
All parameters,RMSE components of Global NWP Index,All Areas,201209010000,116.1088
All parameters,RMSE components of Global NWP Index,All Areas,201210010000,113.610175
All parameters,RMSE components of Global NWP Index,All Areas,201211010000,113.886325
All parameters,RMSE components of Global NWP Index,All Areas,201212010000,115.45635
All parameters,RMSE components of Global NWP Index,All Areas,201301010000,118.547175
All parameters,RMSE components of Global NWP Index,All Areas,201302010000,108.60175
All parameters,RMSE components of Global NWP Index,All Areas,201303010000,115.92755
All parameters,RMSE components of Global NWP Index,All Areas,201304010000,114.814
All parameters,RMSE components of Global NWP Index,All Areas,201305010000,108.629125
All parameters,RMSE components of Global NWP Index,All Areas,201306010000,109.075625
All parameters,RMSE components of Global NWP Index,All Areas,201307010000,104.821525
All parameters,RMSE components of Global NWP Index,All Areas,201308010000,105.04445
All parameters,RMSE components of Global NWP Index,All Areas,201309010000,113.492025
All parameters,RMSE components of Global NWP Index,All Areas,201310010000,107.706125
All parameters,RMSE components of Global NWP Index,All Areas,201311010000,117.288475
All parameters,RMSE components of Global NWP Index,All Areas,201312010000,111.29215
All parameters,RMSE components of Global NWP Index,All Areas,201401010000,113.4398
All parameters,RMSE components of Global NWP Index,All Areas,201402010000,116.40735
All parameters,RMSE components of Global NWP Index,All Areas,201403010000,112.784275
All parameters,RMSE components of Global NWP Index,All Areas,201404010000,106.40095
All parameters,RMSE components of Global NWP Index,All Areas,201405010000,102.997275
All parameters,RMSE components of Global NWP Index,All Areas,201406010000,101.24285
All parameters,RMSE components of Global NWP Index,All Areas,201407010000,101.5126
All parameters,RMSE components of Global NWP Index,All Areas,201408010000,104.093775
All parameters,RMSE components of Global NWP Index,All Areas,201409010000,108.484725
All parameters,RMSE components of Global NWP Index,All Areas,201410010000,105.032175
All parameters,RMSE components of Global NWP Index,All Areas,201411010000,108.26805
All parameters,RMSE components of Global NWP Index,All Areas,201412010000,109.70405
All parameters,RMSE components of Global NWP Index,All Areas,201501010000,114.67825
All parameters,RMSE components of Global NWP Index,All Areas,201502010000,111.0519
All parameters,RMSE components of Global NWP Index,All Areas,201503010000,109.796175
All parameters,RMSE components of Global NWP Index,All Areas,201504010000,108.65035
All parameters,RMSE components of Global NWP Index,All Areas,201505010000,103.3568
All parameters,RMSE components of Global NWP Index,All Areas,201506010000,104.952475
