Datetime,Value
200808010000,121.925341
200809010000,117.960349
200810010000,123.635995
200811010000,114.742949
200812010000,124.677988
200901010000,115.244006
200902010000,115.417774
200903010000,121.495591
200904010000,119.142002
200905010000,120.861881
200906010000,116.785163
200907010000,117.471964
200908010000,117.028441
200909010000,116.771024
200910010000,121.407770
200911010000,119.278124
200912010000,116.274913
201001010000,118.101806
201002010000,117.085799
201003010000,118.411591
201004010000,117.394002
201005010000,120.620006
201006010000,116.825288
201007010000,120.372039
201008010000,116.722366
201009010000,113.406574
201010010000,115.218995
201011010000,115.524249
201012010000,119.313638
201101010000,117.768681
201102010000,121.651499
201103010000,116.417891
201104010000,118.071302
201105010000,116.447406
201106010000,113.617013
201107010000,117.588139
201108010000,110.075566
201109010000,116.434624
201110010000,109.876120
201111010000,113.521149
201112010000,112.733913
201201010000,114.981256
201202010000,119.162274
201203010000,117.407966
201204010000,111.209752
201205010000,113.981581
201206010000,121.389638
201207010000,110.031889
201208010000,113.964016
201209010000,114.623424
201210010000,114.181720
201211010000,112.450549
201212010000,111.706013
201301010000,113.694181
201302010000,104.876299
201303010000,111.247866
201304010000,115.653877
201305010000,112.398431
201306010000,113.846938
201307010000,111.009014
201308010000,109.718466
201309010000,112.006649
201310010000,108.277670
201311010000,115.852699
201312010000,107.541813
201401010000,108.586806
201402010000,112.681899
201403010000,108.104591
201404010000,107.240827
201405010000,106.766581
201406010000,106.014163
201407010000,107.700089
201408010000,108.767791
201409010000,106.999349
201410010000,105.603720
201411010000,106.832274
201412010000,105.953713
201501010000,109.825256
201502010000,107.326449
201503010000,105.116491
201504010000,109.490227
201505010000,107.126106
201506010000,109.723788
