Parameter,Statistic,Area,Validity Datetime,Value
All parameters,RMSE components of Global NWP Index,All Areas,200808010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200809010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200810010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200811010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200812010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200901010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200902010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200903010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200904010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200905010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200906010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200907010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200908010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200909010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200910010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200911010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,200912010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,201001010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,201002010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,201003010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,201004010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,201005010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,201006010000,119.33325
All parameters,RMSE components of Global NWP Index,All Areas,201007010000,119.9055
All parameters,RMSE components of Global NWP Index,All Areas,201008010000,114.51275
All parameters,RMSE components of Global NWP Index,All Areas,201009010000,119.42225
All parameters,RMSE components of Global NWP Index,All Areas,201010010000,118.98875
All parameters,RMSE components of Global NWP Index,All Areas,201011010000,137.56375
All parameters,RMSE components of Global NWP Index,All Areas,201012010000,144.01525
All parameters,RMSE components of Global NWP Index,All Areas,201101010000,125.078
All parameters,RMSE components of Global NWP Index,All Areas,201102010000,130.2185
All parameters,RMSE components of Global NWP Index,All Areas,201103010000,121.526
All parameters,RMSE components of Global NWP Index,All Areas,201104010000,119.33475
All parameters,RMSE components of Global NWP Index,All Areas,201105010000,114.08725
All parameters,RMSE components of Global NWP Index,All Areas,201106010000,104.8755
All parameters,RMSE components of Global NWP Index,All Areas,201107010000,106.6305
All parameters,RMSE components of Global NWP Index,All Areas,201108010000,106.9195
All parameters,RMSE components of Global NWP Index,All Areas,201109010000,109.61175
All parameters,RMSE components of Global NWP Index,All Areas,201110010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,201111010000,113.3385
All parameters,RMSE components of Global NWP Index,All Areas,201112010000,114.363
All parameters,RMSE components of Global NWP Index,All Areas,201201010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,201202010000,115.36725
All parameters,RMSE components of Global NWP Index,All Areas,201203010000,114.4665
All parameters,RMSE components of Global NWP Index,All Areas,201204010000,109.10275
All parameters,RMSE components of Global NWP Index,All Areas,201205010000,109.151
All parameters,RMSE components of Global NWP Index,All Areas,201206010000,110.99475
All parameters,RMSE components of Global NWP Index,All Areas,201207010000,102.94375
All parameters,RMSE components of Global NWP Index,All Areas,201208010000,103.15
All parameters,RMSE components of Global NWP Index,All Areas,201209010000,101.27
All parameters,RMSE components of Global NWP Index,All Areas,201210010000,102.762425
All parameters,RMSE components of Global NWP Index,All Areas,201211010000,105.93475
All parameters,RMSE components of Global NWP Index,All Areas,201212010000,108.063
All parameters,RMSE components of Global NWP Index,All Areas,201301010000,110.699
All parameters,RMSE components of Global NWP Index,All Areas,201302010000,101.80275
All parameters,RMSE components of Global NWP Index,All Areas,201303010000,108.372
All parameters,RMSE components of Global NWP Index,All Areas,201304010000,104.779
All parameters,RMSE components of Global NWP Index,All Areas,201305010000,104.87975
All parameters,RMSE components of Global NWP Index,All Areas,201306010000,103.97025
All parameters,RMSE components of Global NWP Index,All Areas,201307010000,98.52525
All parameters,RMSE components of Global NWP Index,All Areas,201308010000,99.19675
All parameters,RMSE components of Global NWP Index,All Areas,201309010000,104.7385
All parameters,RMSE components of Global NWP Index,All Areas,201310010000,104.3185
All parameters,RMSE components of Global NWP Index,All Areas,201311010000,108.65975
All parameters,RMSE components of Global NWP Index,All Areas,201312010000,105.29275
All parameters,RMSE components of Global NWP Index,All Areas,201401010000,111.62725
All parameters,RMSE components of Global NWP Index,All Areas,201402010000,108.78
All parameters,RMSE components of Global NWP Index,All Areas,201403010000,105.45325
All parameters,RMSE components of Global NWP Index,All Areas,201404010000,100.37475
All parameters,RMSE components of Global NWP Index,All Areas,201405010000,99.74075
All parameters,RMSE components of Global NWP Index,All Areas,201406010000,99.81125
All parameters,RMSE components of Global NWP Index,All Areas,201407010000,99.58975
All parameters,RMSE components of Global NWP Index,All Areas,201408010000,98.87
All parameters,RMSE components of Global NWP Index,All Areas,201409010000,102.5055
All parameters,RMSE components of Global NWP Index,All Areas,201410010000,103.28875
All parameters,RMSE components of Global NWP Index,All Areas,201411010000,107.6635
All parameters,RMSE components of Global NWP Index,All Areas,201412010000,106.033
All parameters,RMSE components of Global NWP Index,All Areas,201501010000,111.387
All parameters,RMSE components of Global NWP Index,All Areas,201502010000,109.337
All parameters,RMSE components of Global NWP Index,All Areas,201503010000,105.33675
All parameters,RMSE components of Global NWP Index,All Areas,201504010000,105.03925
All parameters,RMSE components of Global NWP Index,All Areas,201505010000,nan
All parameters,RMSE components of Global NWP Index,All Areas,201506010000,nan
