Parameter,Statistic,Area,Validity Datetime,Value
All parameters,RMSE components of Global NWP Index,All Areas,200808010000,116.01875
All parameters,RMSE components of Global NWP Index,All Areas,200809010000,122.914
All parameters,RMSE components of Global NWP Index,All Areas,200810010000,123.02475
All parameters,RMSE components of Global NWP Index,All Areas,200811010000,125.07975
All parameters,RMSE components of Global NWP Index,All Areas,200812010000,128.314
All parameters,RMSE components of Global NWP Index,All Areas,200901010000,130.23225
All parameters,RMSE components of Global NWP Index,All Areas,200902010000,128.575
All parameters,RMSE components of Global NWP Index,All Areas,200903010000,129.90625
All parameters,RMSE components of Global NWP Index,All Areas,200904010000,121.91075
All parameters,RMSE components of Global NWP Index,All Areas,200905010000,120.761
All parameters,RMSE components of Global NWP Index,All Areas,200906010000,119.692
All parameters,RMSE components of Global NWP Index,All Areas,200907010000,113.686
All parameters,RMSE components of Global NWP Index,All Areas,200908010000,117.34875
All parameters,RMSE components of Global NWP Index,All Areas,200909010000,121.96875
All parameters,RMSE components of Global NWP Index,All Areas,200910010000,124.07225
All parameters,RMSE components of Global NWP Index,All Areas,200911010000,121.53225
All parameters,RMSE components of Global NWP Index,All Areas,200912010000,129.5475
All parameters,RMSE components of Global NWP Index,All Areas,201001010000,126.0185
All parameters,RMSE components of Global NWP Index,All Areas,201002010000,125.07675
All parameters,RMSE components of Global NWP Index,All Areas,201003010000,124.094
All parameters,RMSE components of Global NWP Index,All Areas,201004010000,119.0355
All parameters,RMSE components of Global NWP Index,All Areas,201005010000,112.791
All parameters,RMSE components of Global NWP Index,All Areas,201006010000,111.563
All parameters,RMSE components of Global NWP Index,All Areas,201007010000,109.92725
All parameters,RMSE components of Global NWP Index,All Areas,201008010000,107.24475
All parameters,RMSE components of Global NWP Index,All Areas,201009010000,110.8635
All parameters,RMSE components of Global NWP Index,All Areas,201010010000,107.6455
All parameters,RMSE components of Global NWP Index,All Areas,201011010000,109.97175
All parameters,RMSE components of Global NWP Index,All Areas,201012010000,118.5055
All parameters,RMSE components of Global NWP Index,All Areas,201101010000,114.38825
All parameters,RMSE components of Global NWP Index,All Areas,201102010000,120.3565
All parameters,RMSE components of Global NWP Index,All Areas,201103010000,115.9585
All parameters,RMSE components of Global NWP Index,All Areas,201104010000,116.06875
All parameters,RMSE components of Global NWP Index,All Areas,201105010000,114.55275
All parameters,RMSE components of Global NWP Index,All Areas,201106010000,108.6815
All parameters,RMSE components of Global NWP Index,All Areas,201107010000,108.1765
All parameters,RMSE components of Global NWP Index,All Areas,201108010000,107.72725
All parameters,RMSE components of Global NWP Index,All Areas,201109010000,107.491
All parameters,RMSE components of Global NWP Index,All Areas,201110010000,101.76
All parameters,RMSE components of Global NWP Index,All Areas,201111010000,110.24625
All parameters,RMSE components of Global NWP Index,All Areas,201112010000,113.4615
All parameters,RMSE components of Global NWP Index,All Areas,201201010000,117.196
All parameters,RMSE components of Global NWP Index,All Areas,201202010000,119.2845
All parameters,RMSE components of Global NWP Index,All Areas,201203010000,117.25875
All parameters,RMSE components of Global NWP Index,All Areas,201204010000,110.534
All parameters,RMSE components of Global NWP Index,All Areas,201205010000,109.9685
All parameters,RMSE components of Global NWP Index,All Areas,201206010000,112.5105
All parameters,RMSE components of Global NWP Index,All Areas,201207010000,105.696
All parameters,RMSE components of Global NWP Index,All Areas,201208010000,106.686
All parameters,RMSE components of Global NWP Index,All Areas,201209010000,107.47625
All parameters,RMSE components of Global NWP Index,All Areas,201210010000,104.83225
All parameters,RMSE components of Global NWP Index,All Areas,201211010000,111.503
All parameters,RMSE components of Global NWP Index,All Areas,201212010000,114.464
All parameters,RMSE components of Global NWP Index,All Areas,201301010000,117.3155
All parameters,RMSE components of Global NWP Index,All Areas,201302010000,109.1325
All parameters,RMSE components of Global NWP Index,All Areas,201303010000,116.083
All parameters,RMSE components of Global NWP Index,All Areas,201304010000,114.49125
All parameters,RMSE components of Global NWP Index,All Areas,201305010000,113.80225
All parameters,RMSE components of Global NWP Index,All Areas,201306010000,110.44975
All parameters,RMSE components of Global NWP Index,All Areas,201307010000,106.35375
All parameters,RMSE components of Global NWP Index,All Areas,201308010000,105.8385
All parameters,RMSE components of Global NWP Index,All Areas,201309010000,114.15725
All parameters,RMSE components of Global NWP Index,All Areas,201310010000,108.01125
All parameters,RMSE components of Global NWP Index,All Areas,201311010000,113.52075
All parameters,RMSE components of Global NWP Index,All Areas,201312010000,112.3115
All parameters,RMSE components of Global NWP Index,All Areas,201401010000,117.45225
All parameters,RMSE components of Global NWP Index,All Areas,201402010000,114.258
All parameters,RMSE components of Global NWP Index,All Areas,201403010000,115.90375
All parameters,RMSE components of Global NWP Index,All Areas,201404010000,110.641
All parameters,RMSE components of Global NWP Index,All Areas,201405010000,111.12425
All parameters,RMSE components of Global NWP Index,All Areas,201406010000,108.28625
All parameters,RMSE components of Global NWP Index,All Areas,201407010000,105.42125
All parameters,RMSE components of Global NWP Index,All Areas,201408010000,104.25675
All parameters,RMSE components of Global NWP Index,All Areas,201409010000,109.0375
All parameters,RMSE components of Global NWP Index,All Areas,201410010000,109.7265
All parameters,RMSE components of Global NWP Index,All Areas,201411010000,115.243
All parameters,RMSE components of Global NWP Index,All Areas,201412010000,109.737
All parameters,RMSE components of Global NWP Index,All Areas,201501010000,117.1375
All parameters,RMSE components of Global NWP Index,All Areas,201502010000,115.172
All parameters,RMSE components of Global NWP Index,All Areas,201503010000,113.8185
All parameters,RMSE components of Global NWP Index,All Areas,201504010000,113.2125
All parameters,RMSE components of Global NWP Index,All Areas,201505010000,108.93325
All parameters,RMSE components of Global NWP Index,All Areas,201506010000,108.3995
