Parameter,Statistic,Area,Validity Datetime,Value
All parameters,RMSE components of Global NWP Index,All Areas,200808010000,101.435706275
All parameters,RMSE components of Global NWP Index,All Areas,200809010000,104.4975286
All parameters,RMSE components of Global NWP Index,All Areas,200810010000,115.082195
All parameters,RMSE components of Global NWP Index,All Areas,200811010000,111.4538359
All parameters,RMSE components of Global NWP Index,All Areas,200812010000,117.62278685
All parameters,RMSE components of Global NWP Index,All Areas,200901010000,111.698359325
All parameters,RMSE components of Global NWP Index,All Areas,200902010000,108.6249277
All parameters,RMSE components of Global NWP Index,All Areas,200903010000,115.7133444
All parameters,RMSE components of Global NWP Index,All Areas,200904010000,106.869567275
All parameters,RMSE components of Global NWP Index,All Areas,200905010000,104.532647475
All parameters,RMSE components of Global NWP Index,All Areas,200906010000,102.84465835
All parameters,RMSE components of Global NWP Index,All Areas,200907010000,102.0196267
All parameters,RMSE components of Global NWP Index,All Areas,200908010000,102.426671725
All parameters,RMSE components of Global NWP Index,All Areas,200909010000,109.6170055
All parameters,RMSE components of Global NWP Index,All Areas,200910010000,110.87446295
All parameters,RMSE components of Global NWP Index,All Areas,200911010000,107.52579925
All parameters,RMSE components of Global NWP Index,All Areas,200912010000,111.4621254
All parameters,RMSE components of Global NWP Index,All Areas,201001010000,108.207774775
All parameters,RMSE components of Global NWP Index,All Areas,201002010000,107.659479125
All parameters,RMSE components of Global NWP Index,All Areas,201003010000,106.7064985
All parameters,RMSE components of Global NWP Index,All Areas,201004010000,105.50116555
All parameters,RMSE components of Global NWP Index,All Areas,201005010000,102.921516325
All parameters,RMSE components of Global NWP Index,All Areas,201006010000,100.91779715
All parameters,RMSE components of Global NWP Index,All Areas,201007010000,103.533341225
All parameters,RMSE components of Global NWP Index,All Areas,201008010000,101.499986825
All parameters,RMSE components of Global NWP Index,All Areas,201009010000,101.375731425
All parameters,RMSE components of Global NWP Index,All Areas,201010010000,103.755221675
All parameters,RMSE components of Global NWP Index,All Areas,201011010000,103.056994075
All parameters,RMSE components of Global NWP Index,All Areas,201012010000,107.9248853
All parameters,RMSE components of Global NWP Index,All Areas,201101010000,103.3901479
All parameters,RMSE components of Global NWP Index,All Areas,201102010000,111.2095883
All parameters,RMSE components of Global NWP Index,All Areas,201103010000,105.80754675
All parameters,RMSE components of Global NWP Index,All Areas,201104010000,99.445241725
All parameters,RMSE components of Global NWP Index,All Areas,201105010000,100.46106885
All parameters,RMSE components of Global NWP Index,All Areas,201106010000,99.972370475
All parameters,RMSE components of Global NWP Index,All Areas,201107010000,100.104864075
All parameters,RMSE components of Global NWP Index,All Areas,201108010000,95.748983775
All parameters,RMSE components of Global NWP Index,All Areas,201109010000,97.78458905
All parameters,RMSE components of Global NWP Index,All Areas,201110010000,97.094632575
All parameters,RMSE components of Global NWP Index,All Areas,201111010000,102.78719935
All parameters,RMSE components of Global NWP Index,All Areas,201112010000,102.6514053
All parameters,RMSE components of Global NWP Index,All Areas,201201010000,106.101797275
All parameters,RMSE components of Global NWP Index,All Areas,201202010000,108.44059155
All parameters,RMSE components of Global NWP Index,All Areas,201203010000,103.41167315
All parameters,RMSE components of Global NWP Index,All Areas,201204010000,97.89330745
All parameters,RMSE components of Global NWP Index,All Areas,201205010000,96.4014913
All parameters,RMSE components of Global NWP Index,All Areas,201206010000,100.821265925
All parameters,RMSE components of Global NWP Index,All Areas,201207010000,96.6295122
All parameters,RMSE components of Global NWP Index,All Areas,201208010000,96.68257855
All parameters,RMSE components of Global NWP Index,All Areas,201209010000,96.942810425
All parameters,RMSE components of Global NWP Index,All Areas,201210010000,97.705562875
All parameters,RMSE components of Global NWP Index,All Areas,201211010000,103.6804859
All parameters,RMSE components of Global NWP Index,All Areas,201212010000,104.582609725
All parameters,RMSE components of Global NWP Index,All Areas,201301010000,104.898680125
All parameters,RMSE components of Global NWP Index,All Areas,201302010000,96.548468
All parameters,RMSE components of Global NWP Index,All Areas,201303010000,101.65638435
All parameters,RMSE components of Global NWP Index,All Areas,201304010000,98.1787511
All parameters,RMSE components of Global NWP Index,All Areas,201305010000,98.169164275
All parameters,RMSE components of Global NWP Index,All Areas,201306010000,95.68628005
All parameters,RMSE components of Global NWP Index,All Areas,201307010000,90.130290375
All parameters,RMSE components of Global NWP Index,All Areas,201308010000,91.6260575
