Datetime,Value
200808010000,105.653991
200809010000,106.418107
200810010000,114.857820
200811010000,108.772771
200812010000,112.911725
200901010000,107.725840
200902010000,105.244239
200903010000,113.040531
200904010000,108.521800
200905010000,107.392094
200906010000,106.139495
200907010000,106.332961
200908010000,106.644957
200909010000,111.537584
200910010000,110.650088
200911010000,104.844734
200912010000,106.751064
201001010000,104.235256
201002010000,104.278790
201003010000,104.033685
201004010000,107.153398
201005010000,105.780963
201006010000,104.212634
201007010000,107.846675
201008010000,105.718272
201009010000,103.296310
201010010000,103.530846
201011010000,100.375929
201012010000,103.213824
201101010000,99.417629
201102010000,107.828900
201103010000,103.134733
201104010000,101.097474
201105010000,103.320516
201106010000,103.267207
201107010000,104.418198
201108010000,99.967269
201109010000,99.705167
201110010000,96.870257
201111010000,100.106134
201112010000,97.940344
201201010000,102.129278
201202010000,105.059903
201203010000,100.738860
201204010000,99.545540
201205010000,99.260938
201206010000,104.116103
201207010000,100.942846
201208010000,100.900864
201209010000,98.863389
201210010000,97.481187
201211010000,100.999421
201212010000,99.871548
201301010000,100.926161
201302010000,93.167779
201303010000,98.983571
201304010000,99.830984
201305010000,101.028611
201306010000,98.981117
201307010000,94.443624
201308010000,95.844343
201309010000,97.412099
201310010000,95.236968
201311010000,100.153811
201312010000,94.690949
201401010000,99.289169
201402010000,99.676542
201403010000,98.660817
201404010000,96.320622
201405010000,96.488954
201406010000,94.046734
201407010000,94.946681
201408010000,95.689789
201409010000,93.186827
201410010000,91.792317
201411010000,95.166684
201412010000,95.040029
201501010000,96.696149
201502010000,95.163330
201503010000,91.827287
201504010000,97.949667
201505010000,97.147406
201506010000,99.656193
