Parameter,Statistic,Area,Validity Datetime,Value
All parameters,RMSE components of Global NWP Index,All Areas,200808010000,122.121
All parameters,RMSE components of Global NWP Index,All Areas,200809010000,121.60425
All parameters,RMSE components of Global NWP Index,All Areas,200810010000,128.51425
All parameters,RMSE components of Global NWP Index,All Areas,200811010000,127.01075
All parameters,RMSE components of Global NWP Index,All Areas,200812010000,134.5795
All parameters,RMSE components of Global NWP Index,All Areas,200901010000,132.259
All parameters,RMSE components of Global NWP Index,All Areas,200902010000,126.14725
All parameters,RMSE components of Global NWP Index,All Areas,200903010000,133.935
All parameters,RMSE components of Global NWP Index,All Areas,200904010000,124.633
All parameters,RMSE components of Global NWP Index,All Areas,200905010000,121.67925
All parameters,RMSE components of Global NWP Index,All Areas,200906010000,116.7405
All parameters,RMSE components of Global NWP Index,All Areas,200907010000,116.9835
All parameters,RMSE components of Global NWP Index,All Areas,200908010000,121.61675
All parameters,RMSE components of Global NWP Index,All Areas,200909010000,122.99625
All parameters,RMSE components of Global NWP Index,All Areas,200910010000,125.05775
All parameters,RMSE components of Global NWP Index,All Areas,200911010000,128.60275
All parameters,RMSE components of Global NWP Index,All Areas,200912010000,126.2545
All parameters,RMSE components of Global NWP Index,All Areas,201001010000,126.996
All parameters,RMSE components of Global NWP Index,All Areas,201002010000,125.62625
All parameters,RMSE components of Global NWP Index,All Areas,201003010000,129.21425
All parameters,RMSE components of Global NWP Index,All Areas,201004010000,128.0275
All parameters,RMSE components of Global NWP Index,All Areas,201005010000,122.96225
All parameters,RMSE components of Global NWP Index,All Areas,201006010000,118.656
All parameters,RMSE components of Global NWP Index,All Areas,201007010000,119.51225
All parameters,RMSE components of Global NWP Index,All Areas,201008010000,120.203
All parameters,RMSE components of Global NWP Index,All Areas,201009010000,120.2065
All parameters,RMSE components of Global NWP Index,All Areas,201010010000,121.257
All parameters,RMSE components of Global NWP Index,All Areas,201011010000,124.87725
All parameters,RMSE components of Global NWP Index,All Areas,201012010000,128.46175
All parameters,RMSE components of Global NWP Index,All Areas,201101010000,128.00025
All parameters,RMSE components of Global NWP Index,All Areas,201102010000,134.64725
All parameters,RMSE components of Global NWP Index,All Areas,201103010000,133.24825
All parameters,RMSE components of Global NWP Index,All Areas,201104010000,128.67175
All parameters,RMSE components of Global NWP Index,All Areas,201105010000,120.267
All parameters,RMSE components of Global NWP Index,All Areas,201106010000,116.20475
All parameters,RMSE components of Global NWP Index,All Areas,201107010000,118.39475
All parameters,RMSE components of Global NWP Index,All Areas,201108010000,114.74925
