date	nwpindex
201108	99.27660
201109	99.49310
201110	99.69038
201111	99.79250
201112	99.83296
201201	99.92999
201202	99.91675
201203	100.00000
201204	100.14955
201205	100.25765
201206	100.26095
201207	100.26741
201208	100.37318
201209	100.59377
201210	100.86829
201211	100.84249
201212	100.94849
201301	101.06705
201302	101.29282
201303	101.33318
201304	101.49484
201305	101.59169
201306	101.73953
201307	102.02023
201308	102.06407
201309	102.15418
201310	102.41013
201311	102.39687
201312	102.52397
201401	102.55569
201402	102.71156
201403	102.81065
201404	102.92677
201405	103.23608
201406	103.28836
201407	103.47027
201408	103.51951
201409	103.56007
201410	103.63937
201411	103.80058
201412	103.87763
201501	104.04555
201502	104.44440
201503	104.72128
201504	104.82910
201505	104.85214
201506	104.84911
201507	104.95412
